position,title
Q95351643,First Lady
Q75611179,President of the Governing Council
Q1672361,Member of the Governing Council
Q56064635,Alternate Member of the Governing Council
Q7241271,President of Iraqi Kurdistan
Q16967730,Prime Minister of Iraqi Kurdistan
Q105512852,President of the Kurdistan National Council
Q106494088,Governor of Anbar
Q107965704,Governor of Baghdad
Q101070549,Governor of Kirkuk
Q89036894,Governor of Najaf
Q40338235,ambassador to Canada
Q30161294,ambassador to France
Q106464784,ambassador to Hungary
Q106466342,ambassador to Turkey
