item,itemLabel,startDate,endDate,psid
Q108426449,Muhammad Amin Ahmad,2003,2003,Q108426449-890D6667-0684-421E-8FA0-10F8F73D1348
Q1351888,Hussain al-Shahristani,2014-07-11,2014-09-08,Q1351888-71CCC29D-4E91-4D03-BDD3-7542D6954F33
Q23043300,Mohamed Ali Alhakim,2018-10-25,2020-05-12,Q23043300-98E41B90-C1A0-4F69-BFB2-F783AAE3EA7F
Q316495,Ibrahim al-Jaafari,2014-09-08,2018-10-25,Q316495-A65B8D6D-F8A0-4720-94C6-851D3E7933F0
Q5555859,Ghassan Muhsen,2003,2003,Q5555859-0E554ECB-218C-4799-8EC5-0BC737718802
Q56704276,Fuad Hussein,2020-06-06,,Q56704276-50C187EF-A0F5-4D54-9775-F671F63A757D
Q85317569,Mustafa Al-Kadhimi,2020-05-12,2020-06-06,Q85317569-A6CFF0BE-EB33-468C-88B9-E50F50CACE66
Q982410,Hoshyar Zebari,2003-07-13,2014-07-11,Q982410-28190787-8ABD-45D8-B9B7-806EF4246E72
