@@,itemlabel,item,startdate,enddate
->,Muhammad Amin Ahmad,Q108426449->NULL,2003,2003
+++,Ghassan Muhsen,Q5555859,2003,2003
->,Hoshyar Zebari,Q982410,2003-07-13->2003-09,2014-07-11
+++,Hussain al-Shahristani,Q1351888,2014-07-11,2014-09-08
+++,Ibrahim al-Jaafari,Q316495,2014-09-08,2018-10-25
+++,Mohamed Ali Alhakim,Q23043300,2018-10-25,2020-05-12
+++,Mustafa Al-Kadhimi,Q85317569,2020-05-12,2020-06-06
