item,itemLabel,position,positionLabel,start,psid
Q100258481,Ali Hamid Mukhlif,Q110633948,Minister of Education,2020-05-07,Q100258481-E5946DA3-E221-4527-9B9E-91306D27E02F
Q100261106,Arkan Shahab,Q110634118,Minister of Communications,2020-05-07,Q100261106-6FFE1923-9AF8-43C1-86E7-4B5C3EF06CEB
Q105744990,Adil Hashush,Q56697253,Minister of Labor and Social Affairs,2020-05-07,Q105744990-D25251E6-7BEF-4BEF-A200-D3B5F3C72E0E
Q106422448,Heyam Nemat,Q110634586,Minister of State for Parliament Affairs,2020-12-15,Q106422448-10d4df87-4d82-1bd8-a748-e774b55132c9
Q110634124,Manhal Aziz,Q110634125,Minister of Industry,2020-05-07,Q110634124-77F81DCF-94D6-4DFC-A924-ADAF3F83B8CD
Q110634140,Hani Musa Badr,Q6866166,Minister of Health,2021-05-25,Q110634140-4F23628E-8D64-4673-85EB-9F7B1412D4FB
Q110634543,Majid Mahdi Hantoush,Q57363560,Minister of Electricity,2020-05-07,Q110634543-AB0D4599-C859-4748-B745-40821DB4F3EB
Q110634544,Mahdi Rashid,Q110634545,Minister of Water Resources,2020-05-07,Q110634544-3F3727D7-7754-40B7-AD72-607336096E87
Q110634551,Nasir Hussein,Q66360580,Minister of Transportation,2020-05-07,Q110634551-4658E95A-E599-444C-804F-5E3FCB3F6567
Q110634562,Salar Abdul Sattar Muhammad,Q106964104,Minister of Justice,2020-06-06,Q110634562-291AC964-39ED-4E4D-B649-ED1F04552D5E
Q110634579,Mohamed Karim Alkhafaji,Q110634580,Minister of Agriculture,2020-06-06,Q110634579-9A052B77-F3EC-4731-9301-1C4534E7D989
Q110634583,Alla Ahmed Hassan,Q55693859,Minister of Trade,2020-06-06,Q110634583-3C007A49-02DE-4CDA-AD2F-571F961D60E2
Q20393732,Hassan Nadhem,Q110634577,Minister of Culture,2020-06-06,Q20393732-F59C5C9D-A2C6-4ADF-B5BA-18A7746412D7
Q2646641,Ali Allawi,Q20423494,Deputy Prime Minister of Iraq,2020-05-07,Q2646641-C3D5ADEC-7DEE-489E-BD5D-38F2A986D1D5
Q2646641,Ali Allawi,Q28104676,Minister of Finance,2020-05-07,Q2646641-7AAEBC53-B396-4FA9-9781-DF7661CB72DA
Q29834564,Othman al-Ghanmi,Q25463377,Minister of Interior,2020-05-06,Q29834564-23FB71E0-F652-4C3C-9AC6-7A52AC08A2C4
Q4683880,Adnan Dirjal,Q37827445,Minister of Youth and Sports (Iraq),2020-05-07,Q4683880-bdf226b4-4e71-a404-9ba8-e7c59532c2fe
Q56704276,Fuad Hussein,Q6895071,Minister of Foreign Affairs,2020-06-06,Q56704276-50C187EF-A0F5-4D54-9775-F671F63A757D
Q57899668,Jamal al-Adeli,Q55691077,Minister of Higher Education and Scientific Research,2018-10-28,Q57899668-25dc75d9-4f0e-1b20-1814-cf113155d50b
Q85317569,Mustafa Al-Kadhimi,Q1476165,Prime Minister of Iraq,2020-05-06,Q85317569-E51905F6-508B-456F-AB8F-5CD57E1213BC
Q93459603,Khalid Najim,Q55691776,Minister of Planning,2020-05-07,Q93459603-C9802034-03B6-46AB-98A9-E3B38F2EA571
Q93654245,Juma Inad,Q22690703,Minister of Defence,2020-05-06,Q93654245-C6321631-4722-4B39-9B4D-9C96BAA50703
Q96096929,Ihsan Abdul Jabbar Ismail,Q55691802,Minister of oil,2020-06-06,Q96096929-89590ae4-48c2-873f-4f60-eb09d8b5c55f
Q96115453,Evan Faeq Yacub,Q56196437,Minister of displacement and migration,2020-06-06,Q96115453-2fc87703-4394-3b59-55e2-63160e2c4bf2
Q96118750,Naznin Shaikh Muhammed,Q96119237,"Minister of Construction, Housing, Municipalities and Public Works",2020-05-07,Q96118750-67a34ee3-423b-8110-7de1-334e9b8244e2
Q99518857,Nabil Abdulsahib,Q55691077,Minister of Higher Education and Scientific Research,2020-05-07,Q99518857-3A73DC4D-3726-4F5F-BBBD-7D590EFDAC29
