item,itemLabel,startDate,endDate,psid
Q1595996,Usama al-Nujayfi,2010-11-11,2014-07-15,Q1595996-4C82E192-6D4C-402D-AC30-DC1E17CEF563
Q17388713,Salim al-Jabouri,2014-07-15,2018-07-01,Q17388713-E94F49F0-AF74-4570-B170-6EE0C00329B0
Q17410819,Fuad Masum,2010-06-14,2010-11-11,Q17410819-68781C62-F3C6-48DC-A6AD-A2EDC6B00DB9
Q324564,Hajim al-Hassani,2005-05,2006-03,Q324564-055E0B65-720F-41D5-81FD-233E60E906F1
Q47008930,Mohamed al-Halbousi,2018-09-15,,Q47008930-258CC4B2-A7AF-4A12-9440-CDF79329983E
Q4830811,Ayad al-Samarrai,2009-04-19,2010-06-14,Q4830811-1F964B26-C613-4537-8B7F-F9A85DE142CB
Q56244133,Abdul Aziz Al Qassab,1928-05-19,,Q56244133-11a8159d-4780-2b0f-7c5a-25c1c80efd51
Q56244133,Abdul Aziz Al Qassab,1947-03-17,1948-11-30,Q56244133-834fa0ab-4803-e8d8-a570-bd8d594b293d
Q66846748,Naeem Haddad,1980-07-01,1983,Q66846748-d0649468-4b39-0f9a-ec2f-336a2b6383f0
Q6734442,Mahmoud al-Mashhadani,2006-03-16,2008-12-23,Q6734442-7FA182E2-A455-4B5B-AC2D-28596C3E4013
Q67917233,Sa'di Mahdi Salih,1989,1995-11-09,Q67917233-9dec1ebe-4481-4680-3371-fee91329fa66
