item,itemLabel,startDate,endDate
Q2464750,Abd Al-Rahman Al-Gillani,1920-11-11,1922-11-20
Q2635118,Abd al-Muhsin as-Sa'dun,1922-11-20,1923-11-22
Q2529157,Jafar al-Askari,1923-11-22,1924-08-02
Q2462315,Yasin al-Hashimi,1924-08-02,1925-06-26
Q2635118,Abd al-Muhsin as-Sa'dun,1925-06-26,1926-11-21
Q2529157,Jafar al-Askari,1926-11-21,1928-01-11
Q2635118,Abd al-Muhsin as-Sa'dun,1928-01-11,1929-04-28
Q2915050,Tawfiq al-Suwaidi,1929-04-28,1929-09-19
Q2635118,Abd al-Muhsin as-Sa'dun,1929-09-19,1929-11-13
Q4195339,Naji al-Suwaydi,1929-11-18,1930-03-23
Q381150,Nuri as-Said,1930-03-23,1932-11-03
Q2058254,Naji Shawkat,1932-11-03,1933-03-20
Q369936,Rashid Ali al-Gaylani,1933-03-20,1933-11-09
Q2635659,Jamil al-Midfai,1933-11-09,1934-08-27
Q3596201,Ali Jawdat al-Aiyubi,1934-08-27,1935-03-04
Q2635659,Jamil al-Midfai,1935-03-04,1935-03-17
Q2462315,Yasin al-Hashimi,1935-03-17,1936-10-30
Q2004396,Hikmat Sulayman,1936-10-30,1937-08-17
Q2635659,Jamil al-Midfai,1937-08-17,1938-12-25
Q381150,Nuri as-Said,1938-12-25,1940-03-31
Q369936,Rashid Ali al-Gaylani,1940-03-31,1941-02-03
Q2005899,Taha al-Hashimi,1941-02-03,1941-04-13
Q369936,Rashid Ali al-Gaylani,1941-04-13,1941-05-30
Q2635659,Jamil al-Midfai,1941-06-04,1941-10-10
Q381150,Nuri as-Said,1941-10-10,1944-06-04
Q2891329,Hamdi al-Pachachi,1944-06-04,1946-02-23
Q2915050,Tawfiq al-Suwaidi,1946-02-23,1946-06-01
Q4070993,Arshad al-Umari,1946-06-01,1946-11-21
Q381150,Nuri as-Said,1946-11-21,1947-03-29
Q2891334,Salih Jabr,1947-03-29,1948-01-29
Q2891034,Muhammad as-Sadr,1948-01-29,1948-06-26
Q2891051,Muzahim al-Pachachi,1948-06-26,1949-01-06
Q381150,Nuri as-Said,1949-01-06,1949-12-10
Q3596201,Ali Jawdat al-Aiyubi,1949-12-10,1950-02-05
Q2915050,Tawfiq al-Suwaidi,1950-02-05,1950-09-15
Q381150,Nuri as-Said,1950-09-15,1952-07-12
Q6943287,Mustafa Mahmud al-Umari,1952-07-12,1952-11-23
Q2891352,Nureddin Mahmud,1952-11-23,1953-01-29
Q2635659,Jamil al-Midfai,1953-01-29,1953-09-17
Q12240882,Muhammad Fadhel al-Jamali,1953-09-17,1954-04-29
Q4070993,Arshad al-Umari,1954-04-29,1954-08-04
Q381150,Nuri as-Said,1954-08-04,1957-06-20
Q3596201,Ali Jawdat al-Aiyubi,1957-06-20,1957-12-15
Q4665241,Abdul-Wahab Mirjan,1957-12-15,1958-03-03
Q381150,Nuri as-Said,1958-03-03,1958-05-18
Q2508067,Ahmad Mukhtar Baban,1958-05-18,1958-07-14
Q299732,Abd al-Karim Qasim,1958-07-14,1963-02-08
Q238046,Ahmed Hassan al-Bakr,1963-02-08,1963-11-18
Q1799369,Tahir Yahya,1963-11-20,1965-09-06
Q660466,Arif Abd ar-Razzaq,1965-09-06,1965-09-21
Q307459,Abd ar-Rahman al-Bazzaz,1965-09-21,1966-08-09
Q1388998,Naji Talib,1966-08-09,1967-05-10
Q307393,Abdul Rahman Arif,1967-05-10,1967-07-10
Q1799369,Tahir Yahya,1967-07-10,1968-07-17
Q307469,Abd ar-Razzaq an-Naif,1968-07-17,1968-07-30
Q238046,Ahmed Hassan al-Bakr,1968-07-31,1979-07-16
Q1316,Saddam Hussein,1979-07-16,1991-03-23
Q711468,Sa'dun Hammadi,1991-03-23,1991-09-13
Q958345,Mohammad Hamza al-Zubaidi,1991-09-16,1993-09-05
Q4695340,Ahmad Husayn Khudayir as-Samarrai,1993-09-05,1994-05-29
Q1316,Saddam Hussein,1994-05-29,2003-04-09
Q715989,Mohammad Bahr al-Ulloum,2003-07-13,2003-07-31
Q316495,Ibrahim al-Jaafari,2003-08-01,2003-08-31
Q400837,Ahmed al-Chalabi,2003-09-01,2003-09-30
Q313816,Ayad Allawi,2003-10-01,2003-10-31
Q57306,Jalal Talabani,2003-11-01,2003-11-30
Q307168,Abdul Aziz al-Hakim,2003-12-01,2003-12-31
Q359766,Adnan al-Pachachi,2004-01-01,2004-01-31
Q4120445,Mohsen Abdel Hamid,2004-02-01,2004-02-29
Q715989,Mohammad Bahr al-Uloom,2004-03-01,2004-03-31
Q315927,Massoud Barzani,2004-04-01,2004-04-30
Q983370,Ezzedine Salim,2004-05-01,2004-05-17
Q180911,Ghazi Mashal Ajil al-Yawer,2004-05-17,2004-06-01
Q313816,Ayad Allawi,2004-06-01,2005-05-03
Q316495,Ibrahim al-Jaafari,2005-05-03,2006-05-20
Q57673,Nouri al-Maliki,2006-05-20,2014-09-08
Q5639013,Haider al-Abadi,2014-09-08,2018-10-25
Q357116,Adil Abdul-Mahdi,2018-10-25,2020-05-06
Q85317569,Mustafa Al-Kadhimi,2020-05-06,
