@@,itemlabel,item,startdate,enddate
+++,حازم الشعلان,Q324581,2004-06,2005-06-01
+++,سعدون الدليمي,Q2208925,2005-06-01,2006-03-06
+++,عبد القادر العبيدي,Q7265770,2006-03-06,2010-12-21
+++,نوري المالكي,Q57673,2010-12-21,2011-08-17
+++,سعدون الدليمي,Q2208925,2011-08-17,2014-10
+++,خالد العبيدي,Q19432805,2014-10,2016-08
+++,عرفان الحيالي,Q28716928,2017-01,2019-06
->,نجاح الشمري,Q72306460,2019-06-24->2019-06,2020-05-06->2020-05
->,جمعة عناد,Q93654245,2020-05-06->2020-05,
