item,itemLabel,startDate,endDate
Q1193377,Muhammad Najib ar-Ruba'i,1958-07-14,1963-02-08
Q307494,Abdul Salam Arif,1963-02-08,1966-04-13
Q307459,Abd al-Rahman al-Bazzaz,1966-04-13,1966-04-16
Q307393,Abdul Rahman Arif,1966-04-16,1968-07-17
Q238046,Ahmed Hassan al-Bakr,1968-07-17,1979-07-16
Q1316,Saddam Hussein,1979-07-16,2003-04-09
Q489037,Jay Garner,2003-04-21,2003-05-12
Q217683,Paul Bremer,2003-05-12,2004-06-28
Q180911,Ghazi Mashal Ajil al-Yawer,2004-06-28,2005-04-07
Q57306,Jalal Talabani,2005-04-07,2014-07-24
Q17410819,Fuad Masum,2014-07-24,2018-10-02
Q808173,Barham Salih,2018-10-02,
