item,itemLabel,startDate,endDate,psid
Q1193377,Muhammad Najib ar-Ruba'i,1958-07-14,1963-02-08,Q1193377-B4C61086-3A58-4725-BE69-045B71BFF5A3
Q1316,Saddam Hussein,1979-07-16,2003-04-09,Q1316-444B6FCC-9C1D-40D4-827E-082171ED61D7
Q17410819,Fuad Masum,2014-07-24,2018-10-02,Q17410819-2c79a18a-4a6d-f191-cca3-77f6867e6bc8
Q180911,Ghazi Mashal Ajil al-Yawer,2004-06-28,2005-04-07,Q180911-6482A50F-301D-453A-ADFC-BE00C085FEB6
Q238046,Ahmed Hassan al-Bakr,1968-07-17,1979-07-16,Q238046-77E986D5-67B6-4562-ABA9-A312F0A23B44
Q307393,Abdul Rahman Arif,1966-04-16,1968-07-17,Q307393-C0367EB5-208B-43AA-B508-46156BBB0B2D
Q307459,Abd ar-Rahman al-Bazzaz,1966-04-13,1966-04-16,Q307459-2B03A69F-C3FB-4071-885C-A226601A826E
Q307494,Abdul Salam Arif,1963-02-08,1966-04-13,Q307494-DDF65AC2-BD82-4C41-B34B-8DE2B571D2F8
Q57306,Jalal Talabani,2005-04-07,2014-07-24,Q57306-6617EA8B-8B19-4AC6-91A6-2BDE440A5F44
Q808173,Barham Salih,2018-10-02,,Q808173-4BF7B2B3-B1A5-490A-ACF1-69E5E88C5E3B
