position,person,personID,start,end
President,Saddam Hussein,Q1316,1979-07-16,2003-04-09
President,Ghazi Mashal Ajil al-Yawer,Q180911,2004-06-28,2005-04-07
President,Jalal Talabani,Q57306,2005-04-07,2014-07-24
President,Fuad Masum,Q17410819,2014-07-24,2018-10-02
President,Barham Salih,Q808173,2018-10-02,
Vice President,Taha Yassin Ramadan,Q359319,1991-03,2003-04-09
Vice President,Rowsch Shaways,Q332544,2004-06-01,2005-04-07
Vice President,Ghazi Mashal Ajil al-Yawer,Q180911,2005-04-07,2006-04-22
Vice President,Adil Abdul-Mahdi,Q357116,2005-04-07,2011-07-11
Vice President,Ayad Allawi,Q313816,2014-09-09,2015-08-11
Vice President,Ayad Allawi,Q313816,2016-10-10,2018-10-02
Prime Minister,Saddam Hussein,Q1316,1994-05-29,2003-04-09
Prime Minister,Mohammad Bahr al-Ulloum,Q715989,2003-07-13,2003-07-31
Prime Minister,Ibrahim al-Jaafari,Q316495,2003-08-01,2003-08-31
Prime Minister,Ahmed Chalabi,Q400837,2003-09-01,2003-09-30
Prime Minister,Ayad Allawi,Q313816,2003-10-01,2003-10-31
Prime Minister,Jalal Talabani,Q57306,2003-11-01,2003-11-30
Prime Minister,Abdul Aziz al-Hakim,Q307168,2003-12-01,2003-12-31
Prime Minister,Adnan Pachachi,Q359766,2004-01-01,2004-01-31
Prime Minister,Mohsen Abdel Hamid,Q4120445,2004-02-01,2004-02-29
Prime Minister,Mohammad Bahr al-Ulloum,Q715989,2004-03-01,2004-03-31
Prime Minister,Masoud Barzani,Q315927,2004-04-01,2004-04-30
Prime Minister,Ezzedine Salim,Q983370,2004-05-01,2004-05-17
Prime Minister,Ghazi Mashal Ajil al-Yawer,Q180911,2004-05-17,2004-06-01
Prime Minister,Ayad Allawi,Q313816,2004-06-01,2005-05-03
Prime Minister,Ibrahim al-Jaafari,Q316495,2005-05-03,2006-05-20
Prime Minister,Nouri al-Maliki,Q57673,2007-05-20,2014-09-08
Prime Minister,Haider Al-Abadi,Q5639013,2014-09-08,2018-10-25
Prime Minister,Adil Abdul-Mahdi,Q357116,2018-10-25,2020-05-07
Prime Minister,Mustafa Al-Kadhimi,Q85317569,2020-05-06,
Deputy Prime Minister,Abd al-Tawab Mullah Huwaysh,Q56867910,2001-07-08,2003-04-09
Deputy Prime Minister,Rowsch Shaways,Q332544,2005-04-07,2006-05-20
Deputy Prime Minister,Barham Salih,Q808173,2006-05-20,2009-08-20
Deputy Prime Minister,Rafi al-Issawi,Q7282646,2008-07-19,2010-12-22
Deputy Prime Minister,Rowsch Shaways,Q332544,2009-08-20,2014-09-08
Deputy Prime Minister,Hoshyar Zebari,Q982410,2014-09-08,2018-10-25
Deputy Prime Minister,Rowsch Shaways,Q332544,2014-10-18,2015-08-10
Deputy Prime Minister,Ali Allawi,Q2646641,2020-05-07,
