wanted,position,positionid,from,start,end
Q1307057,Minister of Oil,Q55691802,Q96096929,2020-06-06,
Q56704276,Deputy Prime Minister,Q20423494,Q2646641,2020-05-07,
Q57899656,Minister of Youth and Sports,Q37827445,Q4683880,2020-05-07,
Q58009134,"Minister of Construction, Housing, Municipalities and Public Works",Q96119237,Q96118750,2020-05-07,
Q4705115,Minister of Health,Q6866166,Q92509450,2019-10-10,2020-05-06
Q20407848,Minister of Culture,Q110634577,Q100260382,2018-12-12,2019-12-01
Q266823,Vice President,Q4117119,Q313816,2014-09-09,2015-08-11
Q1351888,Deputy Prime Minister,Q20423494,Q982410,2014-09-08,2018-10-25
Q4117110,Minister of Transportation,Q66360580,Q324518,2014-09,2016-08
Q4724912,Minister of Planning,Q55691776,Q99979979,2012-05-16,2014-06-02
Q4665648,Governor of Kirkuk,Q101070549,Q6960048,2011-04-03,2017-09-14
Q3469582,Deputy Prime Minister,Q20423494,Q7282646,2008-07-19,2010-12-22
Q6161562,Minister of Construction and Housing,Q55691705,Q96165827,2006-05-20,2010-10-22
Q3336109,Minister of State for Women's Affairs,Q65232506,Q96179172,2005-05-03,2006-05-20
Q4696872,Minister of Electricity,Q57363560,Q57363206,2005-05-03,2006-05-20
Q4705115,Minister of Health,Q6866166,Q69417279,2005-05-03,2006-05-20
Q17068177,Governor of Anbar,Q106494088,Q6721091,2005-05,2009-04
Q7294789,Minister of Science and Technology,Q56241386,Q252673,2005-05,2006-05
Q316495,Vice President,Q4117119,Q180911,2005-04-07,2006-04-22
Q217683,President,Q889817,Q180911,2004-06-28,2005-04-07
Q7409351,Minister of Labor and Social Affairs,Q56697253,Q6519831,2004-06-01,2005-05-03
Q5678983,Minister of Justice,Q106964104,Q1887359,2004-06,2005-05
Q983370,Member of the Governing Council,Q1672361,Q180911,2004-05-17,2004-06-01
Q4120445,Member of the Governing Council,Q1672361,Q715989,2004-03-01,2004-03-31
Q307168,President of the Governing Council,Q75611179,Q359766,2004-01-01,2004-01-31
Q316495,Member of the Governing Council,Q1672361,Q400837,2003-09-01,2003-09-30
Q4115698,Minister of Foreign Affairs,Q6895071,Q982410,2003-07-13,2014-07-11
Q56811220,Minister of Planning,Q55691776,Q56822839,2002-08,2003-04-09
