wanted,position,positionid,from,start,end
Q106421065,Governor of Baghdad,Q107965704,Q107965307,2018-02-27,2019-10-14
Q90699740,Minister of Planning,Q55691776,Q99979979,2012-05-16,2014-06-02
Q56064563,Member of the Council of Representatives of Iraq,Q21328603,Q4683925,2010-06-14,2011-07-04
Q1351888,Deputy Prime Minister,Q20423494,Q7282646,2008-07-19,2010-12-22
Q1483945,Deputy Prime Minister,Q20423494,Q7282646,2008-07-19,2010-12-22
Q7404503,Minister of Health,Q6866166,Q4725287,2006-05-22,2007-04-16
Q3067180,Minister of State for Women's Affairs,Q65232506,Q96179172,2005-05-03,2006-05-20
Q7266997,Governor of Anbar,Q106494088,Q6721091,2005-05,2009-04
Q7281953,Minister of Science and Technology,Q56241386,Q252673,2005-05,2006-05
Q48471815,Minister of Labor and Social Affairs,Q56697253,Q6519831,2004-06-01,2005-05-03
Q4664751,Minister of Justice,Q106964104,Q1887359,2004-06,2005-05
Q315927,Member of the Governing Council,Q1672361,Q715989,2004-03-01,2004-03-31
Q4120445,President of the Governing Council,Q75611179,Q359766,2004-01-01,2004-01-31
Q57306,Member of the Governing Council,Q1672361,Q313816,2003-10-01,2003-10-31
Q357116,Minister of Trade,Q55693859,Q2646641,2003-09,2004-06
Q5436607,Governor of Anbar,Q106494088,Q16735035,2003,2004-07
Q16729546,Minister of Planning,Q55691776,Q56822839,2002-08,2003-04-09
Q7409351,Minister of Labor and Social Affairs,Q56697253,Q56795594,2002-07-12,2003-04-09
Q25454025,Minister of Higher Education and Scientific Research,Q55691077,Q99946596,1998-08-09,2002-06-13
Q360015,Minister of Culture and Information,Q55684412,Q56882698,1998,2001
Q4705115,Minister of Higher Education and Scientific Research,Q55691077,Q56822723,1997,2003-04-09
Q56882698,Minister of Culture,Q110634577,Q29512339,1996,2003
Q316495,Vice President,Q4117119,Q359319,1991-03,2003-04-09
Q965174,President,Q889817,Q1316,1979-07-16,2003-04-09
